id,dependencies,projects,full license list,license urls
0BSD OR BSD-2-Clause,github.com/gogo/protobuf@v1.3.1,"hashgraph/private-hedera-services:hedera-node/test-clients/uniswap-go-clients/go.mod, hashgraph/hedera-stablecoin-demo-archived(master):go.mod","0BSD, BSD-2-Clause","https://app.snyk.io/vuln/snyk:lic:0BSD, https://app.snyk.io/vuln/snyk:lic:BSD-2-Clause"
AFL-2.1 OR BSD-2-Clause,json-schema@0.2.3,"hashgraph/hedera-stable-coin-solidity-ethereum(master):package.json, hashgraph/fabric-samples-hcs(master):fabcar/javascript/package.json, hashgraph/hedera-stable-coin-demo(master):stable-coin-admin/package.json, hashgraph/hedera-stable-coin-demo(master):stable-coin-client/package.json, hashgraph/hedera-fee-tool-js(master):package.json, hashgraph/hedera-nft-auction-demo(main):hedera-nft-auction-demo-javascript-client/package.json, hashgraph/hedera-nft-auction-demo:hedera-nft-auction-demo-javascript-client/package.json","AFL-2.1, BSD-2-Clause","https://app.snyk.io/vuln/snyk:lic:AFL-2.1, https://app.snyk.io/vuln/snyk:lic:BSD-2-Clause"
AFL-2.1 OR BSD-3-Clause,json-schema@0.4.0,"@hashgraph/fullstack-network-manager, hashgraph/fabric-samples-hcs(master):fabcar/typescript/package.json, @hashgraph-dev/stablecoin-npm-sdk, hashgraph/solo(main):package.json, hashgraph/fabric-samples-hcs(master):off_chain_data/package.json, hashgraph/stablecoin-studio(main):contracts/package.json, hashgraph/stablecoin-studio(main):sdk/package.json, hashgraph/hedera-sourcify(main):ui/package.json, hashgraph/hedera-smart-contracts-libs-lab(main):javascriptWithWeb3js/package.json, hashgraph/hedera-subgraph-example(main):package.json, @hashgraph-dev/stablecoin-npm-cli, hashgraph/stablecoin-studio(main):web/package.json, @hashgraph-dev/stablecoin-dapp, @hashgraph-dev/stablecoin-npm-contracts, @hashgraph/solo","AFL-2.1, BSD-3-Clause","https://app.snyk.io/vuln/snyk:lic:AFL-2.1, https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause"
Apache-2.0 AND LGPL-3.0-or-later AND MIT,img/sharp-wasm32@0.33.4,hashgraph/hedera-metamask-snaps(main):packages/hedera-wallet-snap/packages/site/package.json,"Apache-2.0, LGPL-3.0-or-later, MIT","https://app.snyk.io/vuln/snyk:lic:Apache-2.0, https://app.snyk.io/vuln/snyk:lic:LGPL-3.0-or-later, https://app.snyk.io/vuln/snyk:lic:MIT"
Apache-2.0 AND LGPL-3.0-or-later,"@img/sharp-win32-ia32@0.33.4, @img/sharp-win32-x64@0.33.4",hashgraph/hedera-metamask-snaps(main):packages/hedera-wallet-snap/packages/site/package.json,"Apache-2.0, LGPL-3.0-or-later","https://app.snyk.io/vuln/snyk:lic:Apache-2.0, https://app.snyk.io/vuln/snyk:lic:LGPL-3.0-or-later"
Apache-2.0 AND MIT,"multiformats@9.9.0, nft.storage@0.4.1","@hashgraph-dev/stablecoin-npm-sdk, hashgraph/stablecoin-studio(main):hashconnect/lib/package.json, hashgraph/stablecoin-studio(main):sdk/package.json, hashgraph/hashgraph-defi-alliance(main):hashgraph-react-wallets/package.json, hashgraph/hedera-wallet-connect(main):package.json, @hashgraph-dev/hashconnect, @hashgraph-dev/stablecoin-npm-cli, hashgraph/hedera-wallet-connect-js(main):package.json, hashgraph/hedera-mirror-node-explorer(main):package.json, hashgraph/hedera-accelerator-defi-dex-ui(main):package.json, hashgraph/hedera-hts-demo(master):package.json","Apache-2.0, MIT","https://app.snyk.io/vuln/snyk:lic:Apache-2.0, https://app.snyk.io/vuln/snyk:lic:MIT"
Apache-2.0 OR BSD-2-Clause OR BSD-3-Clause OR BSL-1.0 OR CC0-1.0 OR MIT,github.com/apache/arrow/go/arrow@v0.0.0-20191024131854-af6fa24be0db,hashgraph/private-hedera-services:hedera-node/test-clients/uniswap-go-clients/go.mod,"Apache-2.0, BSD-2-Clause, BSD-3-Clause, BSL-1.0, CC0-1.0, MIT","https://app.snyk.io/vuln/snyk:lic:Apache-2.0, https://app.snyk.io/vuln/snyk:lic:BSD-2-Clause, https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause, https://app.snyk.io/vuln/snyk:lic:BSL-1.0, https://app.snyk.io/vuln/snyk:lic:CC0-1.0, https://app.snyk.io/vuln/snyk:lic:MIT"
Apache-2.0 OR BSD-2-Clause OR BSD-3-Clause OR EDL-1.0 OR EPL-2.0 OR GPL-2.0-with-classpath-exception OR MIT OR Public-Domain OR W3C,"org.glassfish.jersey.core:jersey-client@2.31, org.glassfish.jersey.ext:jersey-entity-filtering@2.31, org.glassfish.jersey.ext.rx:jersey-rx-client-rxjava2@2.31, org.glassfish.jersey.ext.rx:jersey-rx-client-rxjava@2.31, org.glassfish.jersey.inject:jersey-hk2@2.31",hashgraph/hedera-stablecoin-demo-archived(master):e2eTesting/pom.xml,"Apache-2.0, BSD-2-Clause, BSD-3-Clause, EDL-1.0, EPL-2.0, GPL-2.0-with-classpath-exception, MIT, Public-Domain, W3C","https://app.snyk.io/vuln/snyk:lic:Apache-2.0, https://app.snyk.io/vuln/snyk:lic:BSD-2-Clause, https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause, https://app.snyk.io/vuln/snyk:lic:EDL-1.0, https://app.snyk.io/vuln/snyk:lic:EPL-2.0, https://app.snyk.io/vuln/snyk:lic:GPL-2.0-with-classpath-exception, https://app.snyk.io/vuln/snyk:lic:MIT, https://app.snyk.io/vuln/snyk:lic:Public-Domain, https://app.snyk.io/vuln/snyk:lic:W3C"
Apache-2.0 OR BSD-2-Clause OR MIT OR Protobuf,github.com/apache/arrow/go/arrow@v0.0.0-20191024131854-af6fa24be0db,hashgraph/private-hedera-services:hedera-node/test-clients/uniswap-go-clients/go.mod,"Apache-2.0, BSD-2-Clause, MIT, Protobuf","https://app.snyk.io/vuln/snyk:lic:Apache-2.0, https://app.snyk.io/vuln/snyk:lic:BSD-2-Clause, https://app.snyk.io/vuln/snyk:lic:MIT, https://app.snyk.io/vuln/snyk:lic:Protobuf"
Apache-2.0 OR BSD-2-Clause,"packaging@24.0, python-dateutil@2.8.2","hashgraph/trezor-firmware(master):python/requirements-dev.txt, hashgraph/fabric-hcs(master):docs/requirements.txt, swirlds/infrastructure:elastic-utils/snapshot/requirements.txt","Apache-2.0, BSD-2-Clause","https://app.snyk.io/vuln/snyk:lic:Apache-2.0, https://app.snyk.io/vuln/snyk:lic:BSD-2-Clause"
