id,name,version,type,issuesCritical,issuesHigh,issuesMedium,issuesLow,dependenciesWithIssues,licenses,projects,license urls,latestVersion,latestVersionPublishedDate,firstPublishedDate,isDeprecated
0no-co/graphql.web@1.0.4,0no-co/graphql.web,1.0.4,npm,0,0,0,0,,MIT,hashgraph/hedera-sdk-js:examples/react-native-example/package.json,https://app.snyk.io/vuln/snyk:lic:MIT,1.0.7,2024-04-18T12:22:15.629Z,2023-03-20T05:02:11.420Z,
abort-controller@3.0.0,abort-controller,3.0.0,npm,0,0,0,0,,MIT,"hashgraph/hedera-sdk-js:package.json, hashgraph/hedera-sdk-tck:package.json, hashgraph/hedera-nft-sdk(main):package.json, hashgraph/hedera-sdk-js:examples/react-native-example/package.json",https://app.snyk.io/vuln/snyk:lic:MIT,3.0.0,2019-03-30T09:15:32.384Z,2017-09-29T04:07:35.761Z,
accepts@1.3.8,accepts,1.3.8,npm,0,0,0,0,,MIT,"hashgraph/hedera-sdk-js:examples/simple_rest_signature_provider/package.json, hashgraph/hedera-sdk-js:examples/react-native-example/package.json",https://app.snyk.io/vuln/snyk:lic:MIT,1.3.8,2022-02-02T23:52:08.772Z,2013-12-27T21:42:44.260Z,
acorn@8.10.0,acorn,8.10.0,npm,0,0,0,0,,MIT,hashgraph/hedera-sdk-js:examples/react-native-example/package.json,https://app.snyk.io/vuln/snyk:lic:MIT,8.12.1,2024-07-03T06:13:12.194Z,2012-09-24T10:10:49.310Z,
acorn@8.12.1,acorn,8.12.1,npm,0,0,0,0,,MIT,hashgraph/hedera-sdk-js:examples/simple_rest_signature_provider/package.json,https://app.snyk.io/vuln/snyk:lic:MIT,8.12.1,2024-07-03T06:13:12.194Z,2012-09-24T10:10:49.310Z,
acorn-jsx@5.3.2,acorn-jsx,5.3.2,npm,0,0,0,0,,MIT,hashgraph/hedera-sdk-js:examples/simple_rest_signature_provider/package.json,https://app.snyk.io/vuln/snyk:lic:MIT,5.3.2,2021-07-09T01:15:57.512Z,2014-07-11T07:44:05.808Z,
agent-base@6.0.2,agent-base,6.0.2,npm,0,0,0,0,,MIT,hashgraph/hedera-sdk-js:examples/react-native-example/package.json,https://app.snyk.io/vuln/snyk:lic:MIT,7.1.1,2024-03-30T01:31:40.164Z,2013-07-09T20:14:39.860Z,
aggregate-error@3.1.0,aggregate-error,3.1.0,npm,0,0,0,0,,MIT,hashgraph/hedera-sdk-js:examples/react-native-example/package.json,https://app.snyk.io/vuln/snyk:lic:MIT,5.0.0,2023-09-14T06:53:27.142Z,2016-09-13T05:00:15.085Z,
ajv@6.12.6,ajv,6.12.6,npm,0,0,0,0,,MIT,hashgraph/hedera-sdk-js:examples/simple_rest_signature_provider/package.json,https://app.snyk.io/vuln/snyk:lic:MIT,8.17.1,2024-07-12T20:42:13.485Z,2015-05-29T22:33:14.989Z,
ajv@8.15.0,ajv,8.15.0,npm,0,0,0,0,,MIT,hashgraph/hedera-nft-sdk(main):package.json,https://app.snyk.io/vuln/snyk:lic:MIT,8.17.1,2024-07-12T20:42:13.485Z,2015-05-29T22:33:14.989Z,
ajv-formats@3.0.1,ajv-formats,3.0.1,npm,0,0,0,0,,MIT,hashgraph/hedera-nft-sdk(main):package.json,https://app.snyk.io/vuln/snyk:lic:MIT,3.0.1,2024-03-30T11:30:26.728Z,2020-01-14T17:57:34.978Z,
